ts,chain,token,disp_pct
2026-06-21T04:54:34.232898+00:00,base,VIRTUAL,0.3117
2026-06-21T04:54:34.232898+00:00,base,EURC,0.0
2026-06-21T04:54:34.232898+00:00,base,AERO,0.7938
2026-06-21T04:54:34.232898+00:00,base,ETH,1.6259
2026-06-21T04:54:34.232898+00:00,base,CBBTC,0.4232
2026-06-21T04:54:34.232898+00:00,base,WETH,0.2894
2026-06-21T04:54:34.232898+00:00,aptos,USDC,0.03
2026-06-21T04:54:34.232898+00:00,aptos,APT,0.0
2026-06-21T04:56:21.399093+00:00,sui,WAL,0.0291
2026-06-21T04:56:21.399093+00:00,sui,CETUS,0.1634
2026-06-21T04:56:21.399093+00:00,sui,USDSUI,0.2702
2026-06-21T04:56:21.399093+00:00,sui,SUIUSDT,0.0
2026-06-21T04:56:21.399093+00:00,sui,USDC,0.1928
2026-06-21T04:56:21.399093+00:00,sui,SUI,0.0
2026-06-21T04:56:21.399093+00:00,solana,JITOSOL,0.1803
2026-06-21T04:56:21.399093+00:00,solana,HYPE,0.3897
2026-06-21T04:56:21.399093+00:00,solana,PENGU,0.3697
2026-06-21T04:56:21.399093+00:00,solana,POPCAT,0.1288
2026-06-21T04:56:21.399093+00:00,solana,ORE,0.399
2026-06-21T04:56:21.399093+00:00,solana,MET,1.1124
2026-06-21T04:56:21.399093+00:00,solana,USELESS,0.3443
2026-06-21T04:56:21.399093+00:00,solana,JUP,0.8253
2026-06-21T04:56:21.399093+00:00,solana,TRUMP,0.0
2026-06-21T04:56:21.399093+00:00,solana,USDG,0.0
2026-06-21T04:56:21.399093+00:00,solana,USDE,0.1002
2026-06-21T04:56:21.399093+00:00,solana,FO,0.378
2026-06-21T04:56:21.399093+00:00,solana,USDC,0.029
2026-06-21T04:56:21.399093+00:00,solana,SOL,0.6546
2026-06-21T04:56:21.399093+00:00,base,CBETH,0.3173
2026-06-21T04:56:21.399093+00:00,base,WEETH,0.0904
2026-06-21T04:56:21.399093+00:00,base,USDC,0.0029
2026-06-21T04:56:21.399093+00:00,base,USDT,0.0902
2026-06-21T04:56:21.399093+00:00,base,BRETT,0.4769
2026-06-21T04:56:21.399093+00:00,base,VIRTUAL,0.2462
2026-06-21T04:56:21.399093+00:00,base,EURC,0.0
2026-06-21T04:56:21.399093+00:00,base,AERO,0.7566
2026-06-21T04:56:21.399093+00:00,base,ETH,1.6259
