t0,chain,token,entry_spread_pct,lo_dex,hi_dex,min_tvl,whale,n_samples,n_pos_after_entry,best_net_pct,actionable
2026-06-21T04:38:03.366618+00:00,base,VIRTUAL,0.9507,aerodrome,aerodrome,500419,1,18,0,-0.092,0
2026-06-21T05:02:41.110533+00:00,solana,ORE,1.2068,meteora,orca,259333,0,10,0,-0.7003,0
2026-06-21T05:02:41.110533+00:00,solana,HYPE,0.4185,meteora,orca,877692,1,10,0,-0.2136,0
2026-06-21T04:47:26.216738+00:00,base,ETH,1.6259,uniswap,uniswap,356061,0,18,17,0.001,1
2026-06-21T04:52:47.504332+00:00,sui,USDSUI,0.3503,cetus,turbos-finance,817201,0,18,0,-0.6432,0
2026-06-21T04:52:47.504332+00:00,solana,SOL,0.6271,orca,meteora,656293,1,18,3,0.7931,1
2026-06-21T05:02:41.110533+00:00,base,CBBTC,0.3624,aerodrome,uniswap,434437,1,18,0,-0.5047,0
2026-06-21T05:09:19.621474+00:00,solana,USDG,0.4616,orca,orca,3433948,0,15,2,0.0614,1
2026-06-21T05:06:00.269983+00:00,base,WETH,0.304,pancakeswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387587,1,18,0,-1.0317,0
2026-06-21T05:09:19.621474+00:00,solana,JUP,1.7841,meteora,meteora,412370,1,18,3,28.6883,1
2026-06-21T05:12:38.477547+00:00,solana,MET,1.1435,meteora,meteora,678043,1,18,2,0.0958,1
2026-06-21T05:20:27.772895+00:00,solana,ZERO,1.2174,meteora,pumpswap,305744,1,14,0,-0.1601,0
2026-06-21T05:17:14.096420+00:00,solana,POPCAT,0.6024,raydium,raydium,580207,0,17,0,-0.5041,0
2026-06-21T05:17:14.096420+00:00,solana,PENGU,0.5929,meteora,orca,2329670,0,17,0,-0.0793,0
2026-06-21T05:17:14.096420+00:00,solana,FO,0.549,meteora,meteora,2507473,0,17,0,-0.111,0
2026-06-21T05:25:17.618648+00:00,solana,TRUMP,0.5587,meteora,meteora,3841205,0,12,0,-0.046,0
2026-06-21T05:25:17.618648+00:00,solana,SOL,0.7837,meteora,raydium,567961,1,17,3,26.1837,1
2026-06-21T05:38:45.031247+00:00,base,AERO,1.2454,uniswap,aerodrome,365611,1,17,2,0.1789,1
2026-06-21T05:41:54.699616+00:00,solana,JUP,0.4184,orca,meteora,291794,1,17,0,-0.4997,0
2026-06-21T05:41:54.699616+00:00,base,VIRTUAL,0.3287,uniswap,uniswap,422904,1,17,0,-0.6506,0
2026-06-21T05:45:40.884468+00:00,solana,USDE,0.4704,orca,orca,2146899,0,18,0,-0.1963,0
2026-06-21T05:47:22.082158+00:00,solana,MET,0.8949,meteora,meteora,265865,1,18,3,0.0523,1
2026-06-21T05:54:09.325118+00:00,solana,ZERO,1.2797,meteora,pumpswap,309811,1,18,10,3.0092,1
2026-06-21T06:00:55.993617+00:00,solana,JITOSOL,1.1086,orca,meteora,349286,0,18,0,-0.5186,0
2026-06-21T06:00:55.993617+00:00,solana,FO,0.634,meteora,meteora,2505584,0,18,17,0.1014,1
2026-06-21T06:00:55.993617+00:00,base,WETH,0.4905,aerodrome,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,267433,0,18,0,-1.0436,0
2026-06-21T06:00:55.993617+00:00,base,CBBTC,0.3262,uniswap,uniswap,434437,1,18,0,-0.5637,0
2026-06-21T06:17:18.376279+00:00,base,VIRTUAL,0.3628,uniswap,aerodrome,421159,1,18,0,-0.3376,0
2026-06-21T06:20:33.309591+00:00,base,AERO,0.4926,aerodrome,aerodrome,606934,1,18,0,-0.2931,0
2026-06-21T06:25:25.836188+00:00,solana,JUP,0.6524,orca,meteora,292470,1,17,0,-0.9601,0
2026-06-21T06:32:33.257140+00:00,solana,ZERO,2.6242,meteora,pumpswap,314951,1,14,12,3.1029,1
2026-06-21T06:27:03.131819+00:00,solana,SOL,2.3649,meteora,raydium,572429,1,18,3,3.6352,1
2026-06-21T06:30:55.652512+00:00,base,BRETT,0.6312,aerodrome,uniswap,726956,0,17,0,-0.2967,0
2026-06-21T06:32:33.257140+00:00,solana,MET,0.5389,meteora,meteora,256427,1,17,0,-0.0967,0
2026-06-21T06:55:23.573404+00:00,solana,TRIPLET,0.621,pumpswap,meteora,307123,1,4,1,0.1342,0
2026-06-21T06:34:10.719803+00:00,base,WETH,0.4823,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387587,1,17,0,-0.5566,0
2026-06-21T06:35:48.280305+00:00,base,CBBTC,0.5016,uniswap,aerodrome,709383,1,17,0,-0.048,0
2026-06-21T06:37:25.715322+00:00,sui,USDC,0.366,turbos-finance,cetus,641878,0,17,0,-0.7503,0
2026-06-21T07:09:19.749027+00:00,solana,TRIPLET,0.4643,pumpswap,meteora,302013,1,3,0,-1.5505,0
2026-06-21T06:57:01.072998+00:00,solana,TRUMP,0.5587,meteora,raydium,880649,0,14,0,-0.3961,0
2026-06-21T07:18:52.265345+00:00,solana,TRIPLET,0.6936,pumpswap,meteora,301395,1,4,0,-1.5808,0
2026-06-21T06:57:01.072998+00:00,base,AERO,1.0911,aerodrome,aerodrome,867244,1,18,2,0.0784,1
2026-06-21T07:30:50.673756+00:00,sui,SUI,0.4389,momentum,steamm,355587,0,2,0,-0.6837,0
2026-06-21T07:05:58.099973+00:00,solana,FO,0.8471,meteora,meteora,2501286,0,18,2,0.2721,1
2026-06-21T07:09:19.749027+00:00,solana,SOL,0.8937,meteora,orca,650407,1,17,6,0.5914,1
2026-06-21T07:10:58.904394+00:00,base,CBBTC,0.6183,uniswap,aerodrome,710316,1,17,0,-0.291,0
2026-06-21T07:23:41.993934+00:00,base,VIRTUAL,0.7605,aerodrome,aerodrome,494626,1,17,0,-0.3691,0
2026-06-21T07:32:33.340557+00:00,base,AERO,0.5188,aerodrome,aerodrome,600030,1,17,0,-0.0277,0
2026-06-21T07:34:15.415047+00:00,solana,MET,0.7747,meteora,meteora,661957,1,18,0,-0.0246,0
2026-06-21T07:41:03.667560+00:00,solana,SOL,0.5198,meteora,raydium,568710,1,18,0,-0.26,0
2026-06-21T07:45:38.045116+00:00,base,CBBTC,0.4809,uniswap,aerodrome,709396,1,17,0,-0.3017,0
2026-06-21T07:55:35.797938+00:00,sui,SUI,0.3666,momentum,steamm,356219,0,15,0,-1.1045,0
2026-06-21T07:53:56.367337+00:00,base,CBETH,0.3341,hydrex,alien-base,255909,0,18,0,-1.5707,0
2026-06-21T07:55:35.797938+00:00,base,VIRTUAL,0.4956,aerodrome,aerodrome,494696,1,18,0,-0.2651,0
